,rating,name,salary,team,opp,, ,proj,ceil,floor,proj+-,pts/sal,proj_own,impld_pts,lev_rank,leverage,sr,buzz,pro,my,bargain,opp+-,snaps,pts,opppts,delta,spread,o/u,spread%,comp,att,yards,%,y/a,adj ypa,td,long,CAY,IAY,%rb,%wr,%te,%td,int%,sack%,rush-att,not sure,rush_yards,rush_y/a,rush_td,success,rz_opp,rz_opp10,rz-opp5,temp,humidity,precip%,month_ppg,month_change,month_fpo,month_fps,consistency,upside,duds,count,year_ppg,year+-,year_change,year_fpo,year_fps,year_consistency,year_upside,year_duds,year_count,pos,week,rush_td%,rush_yards%,snaps%,rush_att,rec_trgts,not_sure2,rec_yards,rec_long,rec_yr,rec_td,rec_yt,rz_td_pct,rz_succ%,rec_trgts%,rec_td%,rec_yds%,rec_TAY,rec_TAY%,proj_sacks,pass_succ,rush_succ,takeaway%,td%,ypp,rz_snaps,rz_snaps10,rz_snaps5,TD%,Last Name_master,City Name_master,First Name_master,RylandID_master,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 28,Unnamed: 29,Roster Position,City Name,City Name2,City Name3,RylandID
atwell4900wrt,43.62,Tutu Atwell,4900,LA,CAR,,,2.31,3.6,1.0,-4.99,0.5,0.1,7.3,7.0,0.94,0.0,0.0,0.0,0.0,0.06,1.4,4.0,25.8,15.8,1.0,-10.0,41.5,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,300,5.9,1.48,33.0,0.16,0.0,60.0,5.9,0.0,-1100.0,8.81,1.48,8.0,0.04,0.0,25.0,WR,10/12/22,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,54.0,0.0,0.0,0.0,0.0,0.019,0.0,0.033,17.7,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,atwell,tutu atwell,t,atwell4900wrt,81659-92976,WR,t,Tutu Atwell,atwell,1.9666666984558103,3.0,4900,CAR@LAR,LAR,CAR,,,,,,WR/FLEX,ryland,ryland,tutu,atwell4900wrt
baltimore4500,39.87,Baltimore,4500,BAL,@NYG,,,6.88,15.4,-1.6,-1.11,1.5,1.6,7.99,10.0,0.97,0.0,0.0,2.0,0.0,0.62,-2.8,0.0,25.5,20.0,2.0,-5.5,45.5,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.42,0.0,7.2,-500,0.0,0.0,100.0,0.6,0.0,50.0,6.5,-1.1,-1500.0,0.0,0.0,86.0,0.36,0.09,22.0,D,10/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.2,0.4899,0.45770000000000005,0.0138,0.0441,7.68,9.18,5.4,3.69,0.2051,baltimore,baltimore,b,baltimore4500,81659-12555,D,b,Baltimore Ravens,ravens,8.0,5.0,4500,BAL@NYG,BAL,NYG,,,,,,DEF,Ravens,Ravens,baltimore,baltimore4500
barkley8800rbs,69.93,Saquon Barkley,8800,NYG,BAL,,,15.97,20.6,11.3,-0.19,1.8,18.9,16.16,2.0,0.88,1.0,6.3,9.0,0.0,0.12,5.6,44.0,20.0,25.5,0.0,5.5,45.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,71.0,4.5,0.2,0.429,0.76,0.47,0.29,65.0,0.42,0.0,15.6,0,0.66,0.27,83.0,0.5,0.16,60.0,12.1,1.5,2800.0,0.59,0.28,43.0,0.17,0.3,23.0,RB,10/12/22,0.375,0.54,0.715,15.0,4.0,3.0,21.0,12.0,6.1,0.1,0.0,0.182,0.636,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,barkley,saquon barkley,s,barkley8800rbs,81659-64401,RB,s,Saquon Barkley,barkley,19.31999969482422,5.0,8800,BAL@NYG,NYG,BAL,Q,Shoulder,,,,RB/FLEX,ryland,ryland,saquon,barkley8800rbs
bateman6500wrr,63.17,Rashod Bateman,6500,BAL,@NYG,,,8.41,11.9,4.9,-2.54,1.3,2.8,10.95,7.0,0.93,0.0,0.0,1.0,0.0,0.61,-0.9,46.0,25.5,20.0,2.0,-5.5,45.5,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.12,0.06,65.0,0.42,0.0,10.4,100,1.83,0.31,66.0,0.55,0.11,90.0,8.7,0.8,500.0,1.57,0.19,64.0,0.36,0.12,25.0,WR,10/12/22,0.0,0.0,0.0,0.0,5.0,3.0,47.0,23.0,13.3,0.2,0.0,0.14300000000000002,0.0,0.163,0.125,0.20800000000000002,29.6,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bateman,rashod bateman,r,bateman6500wrr,81659-85845,WR,r,Rashod Bateman,bateman,9.949999809265137,4.0,6500,BAL@NYG,BAL,NYG,Q,Foot,,,,WR/FLEX,ryland,ryland,rashod,bateman6500wrr
bell4900wrd,46.71,David Bell,4900,CLE,NE,,,2.4,3.6,1.2,-4.9,0.5,0.1,7.3,7.0,0.91,0.0,0.0,0.0,0.0,0.09,3.5,26.0,23.0,20.5,0.7,-2.5,43.5,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,63.0,0.36,0.0,1.5,100,1.02,0.06,25.0,0.12,0.75,80.0,1.9,-1.9,-1100.0,1.6,0.07,27.0,0.09,0.54,11.0,WR,10/12/22,0.0,0.0,0.0,0.0,1.0,1.0,10.0,7.0,10.6,0.0,0.0,0.0,0.0,0.039,0.0,0.05,11.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bell,david bell,d,bell4900wrd,81659-114180,WR,d,David Bell,bell,1.950000047683716,4.0,4900,NE@CLE,CLE,NE,,,,,,WR/FLEX,ryland,ryland,david,bell4900wrd
bellinger4700ted,76.79,Daniel Bellinger,4700,NYG,BAL,,,4.98,6.8,3.2,-0.56,1.1,2.3,5.54,-9.0,0.49,0.0,0.0,3.0,0.0,0.72,3.8,39.0,20.0,25.5,0.0,5.5,45.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2,65.0,0.42,0.0,6.5,4699,2.01,0.16,100.0,0.66,0.0,60.0,5.3,2.8,-1300.0,2.03,0.14,70.0,0.4,0.2,10.0,TE,10/12/22,0.0,0.0,0.0,0.0,2.0,2.0,20.0,11.0,10.1,0.2,0.0,0.5,0.0,0.094,0.33299999999999996,0.11699999999999999,8.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bellinger,daniel bellinger,d,bellinger4700ted,81659-90307,TE,d,Daniel Bellinger,bellinger,6.824999809265137,4.0,4700,BAL@NYG,NYG,BAL,,,,,,TE/FLEX,ryland,ryland,daniel,bellinger4700ted
benjamin6300rbe,74.79,Eno Benjamin,6300,ARI,@SEA,,,12.99,16.7,9.2,3.07,2.1,36.4,9.92,-11.0,0.43,1.0,5.0,5.0,0.0,0.02,7.2,17.0,26.5,24.0,1.7,-2.5,50.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,4.0,0.2,0.484,0.82,0.12,0.0,79.0,0.24,0.0,7.4,1300,0.76,0.29,85.0,0.57,0.14,70.0,5.1,0.7,300.0,0.75,0.3,41.0,0.29,0.37,24.0,RB,10/12/22,0.125,0.163,0.242,4.0,1.0,1.0,10.0,6.0,7.7,0.0,0.0,0.111,0.667,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benjamin,eno benjamin,e,benjamin6300rbe,81659-85762,RB,e,Eno Benjamin,benjamin,7.05999984741211,5.0,6300,ARI@SEA,ARI,SEA,,,,,,RB/FLEX,ryland,ryland,eno,benjamin6300rbe
bourne5000wrk,60.46,Kendrick Bourne,5000,NE,@CLE,,,5.1,7.6,2.6,-2.43,1.0,0.3,7.53,10.0,0.95,0.0,0.0,0.0,0.0,0.06,1.3,28.0,20.5,23.0,1.2,2.5,43.5,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.24,0.24,63.0,0.36,0.0,3.1,0,0.9,0.13,50.0,0.16,0.5,60.0,7.5,-0.1,-1000.0,1.42,0.27,68.0,0.28,0.24,25.0,WR,10/12/22,0.0,0.0,0.0,0.0,3.0,2.0,43.0,26.0,15.3,0.2,0.0,0.33299999999999996,0.0,0.129,0.174,0.187,25.8,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bourne,kendrick bourne,k,bourne5000wrk,81659-80289,WR,k,Kendrick Bourne,bourne,4.05999984741211,5.0,5000,NE@CLE,NE,CLE,,,,,,WR/FLEX,ryland,ryland,kendrick,bourne5000wrk
boyd6000wrt,69.64,Tyler Boyd,6000,CIN,@NO,,,7.7,10.8,4.6,-2.11,1.3,1.1,9.81,9.0,0.94,0.0,0.0,1.0,0.0,0.69,2.9,54.0,22.5,20.5,0.0,-2.0,43.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.47,0.29,0.0,0.0,0.0,8.2,-600,1.37,0.16,100.0,0.44,0.0,90.0,8.5,0.7,0.0,1.27,0.16,71.0,0.32,0.14,28.0,WR,10/12/22,0.0,0.0,0.0,0.0,5.0,3.0,48.0,27.0,14.2,0.4,0.0,0.429,0.0,0.147,0.182,0.16399999999999998,29.1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,boyd,tyler boyd,t,boyd6000wrt,81659-40669,WR,t,Tyler Boyd,boyd,9.163999938964844,5.0,6000,CIN@NO,CIN,NO,,,,,,WR/FLEX,ryland,ryland,tyler,boyd6000wrt
brady7500qbt,74.11,Tom Brady,7500,TB,@PIT,,,19.88,31.7,8.1,0.1,2.7,9.9,19.78,-1.0,0.64,1.0,4.4,1.0,0.0,0.69,6.3,66.0,26.8,18.3,1.8,-8.5,45.0,71.0,27.0,41.0,291.0,67.0,7.1,7.04,2.1,40.0,155.3,319.6,14.3,43.7,18.8,5.1,1.5,3.1,1.0,2.0,2.0,1.5,0.1,0.375,7.19,3.88,2.13,60.0,0.39,0.0,16.4,100,0.34,0.24,88.0,0.66,0.11,90.0,17.8,0.6,1500.0,0.41,0.27,81.0,0.51,0.11,27.0,QB,10/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brady,tom brady,t,brady7500qbt,81659-6498,QB,t,Tom Brady,brady,16.132000732421876,5.0,7500,TB@PIT,TB,PIT,,,,,,QB,ryland,ryland,tom,brady7500qbt
brate4800tec,83.58,Cameron Brate,4800,TB,@PIT,,,5.92,8.1,3.8,0.15,1.2,0.2,5.77,8.0,0.99,0.0,0.0,4.0,0.0,0.72,6.4,29.0,26.8,18.3,1.8,-8.5,45.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.69,0.38,60.0,0.39,0.0,3.9,200,0.74,0.1,66.0,0.16,0.0,60.0,40.0,-0.9,-1200.0,1.01,0.14,69.0,0.21,0.04,23.0,TE,10/12/22,0.0,0.0,0.0,0.0,3.0,2.0,15.0,8.0,7.8,0.3,0.0,0.222,0.0,0.09699999999999999,0.125,0.054000000000000006,11.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brate,cameron brate,c,brate4800tec,81659-54782,TE,c,Cameron Brate,brate,3.875,4.0,4800,TB@PIT,TB,PIT,Q,Concussion,,,,TE/FLEX,ryland,ryland,cameron,brate4800tec
breida5600rbm,38.51,Matt Breida,5600,NYG,BAL,,,2.18,2.9,1.5,-6.0,0.4,0.1,8.18,-9.0,0.52,0.0,0.0,3.0,0.0,0.16,5.6,10.0,20.0,25.5,0.0,5.5,45.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,4.9,0.1,0.667,0.65,0.18,0.06,65.0,0.42,0.0,1.4,500,0.48,0.13,40.0,0.2,0.6,50.0,3.4,-1.8,-400.0,0.86,0.34,20.0,0.12,0.41,24.0,RB,10/12/22,0.071,0.098,0.163,3.0,1.0,0.0,7.0,6.0,9.4,0.2,0.0,0.14300000000000002,0.857,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,breida,matt breida,m,breida5600rbm,81659-53303,RB,m,Matt Breida,breida,1.5600000381469727,5.0,5600,BAL@NYG,NYG,BAL,,,,,,RB/FLEX,ryland,ryland,matt,breida5600rbm
brissett6600qbj,65.75,Jacoby Brissett,6600,CLE,NE,,,15.3,24.6,6.0,-2.71,2.3,0.4,18.01,9.0,0.97,0.0,0.0,1.0,0.0,0.69,4.9,43.0,23.0,20.5,0.7,-2.5,43.5,42.0,17.0,28.0,185.0,61.0,6.5,5.56,0.8,33.0,87.2,191.4,9.2,27.2,15.4,2.9,2.1,5.1,2.0,6.0,11.0,5.2,0.1,0.708,2.47,1.18,0.71,63.0,0.36,0.0,16.6,6598,0.45,0.24,100.0,1.0,0.0,10.0,12.4,0.0,600.0,0.39,0.29,52.0,0.4,0.12,25.0,QB,10/12/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,brissett,jacoby brissett,j,brissett6600qbj,81659-30231,QB,j,Jacoby Brissett,brissett,15.31999969482422,5.0,6600,NE@CLE,CLE,NE,,,,,,QB,ryland,ryland,jacoby,brissett6600qbj
